idKegg	name
C00055	CMP
C00055	Cytidine-5'-monophosphate
C00055	Cytidylic acid
C00058	Formate
C00058	Methanoic acid
C00058	Formic acid
C00059	Sulfate
C00059	Sulfuric acid
C00060	Carboxylate
C00060	R-COOH
C00060	Monocarboxylate
C00060	Carboxylic acid
C00061	FMN
C00061	Riboflavin-5-phosphate
C00061	Flavin mononucleotide
C00062	L-Arginine
C00062	(S)-2-Amino-5-guanidinovaleric acid
C00062	L-Arg
C00063	CTP
C00063	Cytidine 5'-triphosphate
C00063	Cytidine triphosphate
C00064	L-Glutamine
C00064	L-2-Aminoglutaramic acid
C00065	L-Serine
C00065	L-2-Amino-3-hydroxypropionic acid
C00065	L-3-Hydroxy-alanine
C00065	Serine
C00066	tRNA
C00066	tRNA(n)
C00066	tRNA(n+1)
C00066	transfer RNA
C00067	Formaldehyde
C00067	Methanal
C00067	Oxomethane
C00067	Oxomethylene
C00067	Methylene oxide
C00067	Formalin
C00068	Thiamin diphosphate
C00068	Thiamine diphosphate
C00068	Thiamin pyrophosphate
C00068	TPP
C00068	ThPP
C00069	Alcohol
C00071	Aldehyde
C00071	RCHO
C00072	Ascorbate
C00072	Ascorbic acid
C00072	L-Ascorbate
C00072	L-Ascorbic acid
C00072	Vitamin C
C00073	L-Methionine
C00073	Methionine
C00073	L-2-Amino-4methylthiobutyric acid
C00074	Phosphoenolpyruvate
C00074	Phosphoenolpyruvic acid
C00074	PEP
C00075	UTP
C00075	Uridine 5'-triphosphate
C00075	Uridine triphosphate
C00077	L-Ornithine
C00077	(S)-2,5-Diaminovaleric acid
C00077	(S)-2,5-Diaminopentanoic acid
C00077	(S)-2,5-Diaminopentanoate
C00078	L-Tryptophan
C00078	Tryptophan
C00078	(S)-alpha-Amino-beta-(3-indolyl)-propionic acid
C00079	L-Phenylalanine
C00079	(S)-alpha-Amino-beta-phenylpropionic acid
C00080	H+
C00080	Hydron
C00081	ITP
C00081	Inosine 5'-triphosphate
C00081	Inosine triphosphate
C00081	Inosine tripolyphosphate
C00082	L-Tyrosine
C00082	(S)-3-(p-Hydroxyphenyl)alanine
C00082	(S)-2-Amino-3-(p-hydroxyphenyl)propionic acid
C00082	Tyrosine
C00083	Malonyl-CoA
C00083	Malonyl coenzyme A
C00084	Acetaldehyde
C00084	Ethanal
C00085	D-Fructose 6-phosphate
C00085	D-Fructose 6-phosphoric acid
C00085	Neuberg ester
C00086	Urea
C00086	Carbamide
C00087	Sulfur
C00087	S
C00087	Elemental sulfur
C00088	Nitrite
C00089	Sucrose
C00089	Cane sugar
C00089	Saccharose
C00089	1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside
C00090	Catechol
C00090	1,2-Benzenediol
C00090	o-Benzenediol
C00090	1,2-Dihydroxybenzene
C00090	Brenzcatechin
C00090	Pyrocatechol
C00091	Succinyl-CoA
C00091	Succinyl coenzyme A
C00092	D-Glucose 6-phosphate
C00092	Glucose 6-phosphate
C00092	Robison ester
C00093	sn-Glycerol 3-phosphate
C00093	Glycerophosphoric acid
C00093	D-Glycerol 1-phosphate
C00094	Sulfite
C00094	Sulfurous acid
C00095	D-Fructose
C00095	Levulose
C00095	Fruit sugar
C00095	D-arabino-Hexulose
C00096	GDP-mannose
C00096	GDP-D-mannose
C00096	GDP-alpha-D-mannose
C00097	L-Cysteine
C00097	L-2-Amino-3-mercaptopropionic acid
C00099	beta-Alanine
C00099	3-Aminopropionic acid
C00099	3-Aminopropanoate
C00100	Propanoyl-CoA
C00100	Propionyl-CoA
C00100	Propionyl coenzyme A
C00101	Tetrahydrofolate
C00101	5,6,7,8-Tetrahydrofolate
C00101	Tetrahydrofolic acid
C00101	THF
C00101	(6S)-Tetrahydrofolate
C00101	(6S)-Tetrahydrofolic acid
C00101	(6S)-THFA
C00103	D-Glucose 1-phosphate
C00103	alpha-D-Glucose 1-phosphate
C00103	Cori ester
C00103	D-Glucose alpha-1-phosphate
C00104	IDP
C00104	Inosine 5'-diphosphate
C00104	Inosine diphosphate
C00105	UMP
C00105	Uridylic acid
C00105	Uridine monophosphate
C00105	Uridine 5'-monophosphate
C00105	5'Uridylic acid
C00106	Uracil
C00108	Anthranilate
C00108	Anthranilic acid
C00108	o-Aminobenzoic acid
C00108	Vitamin L1
C00108	2-Aminobenzoate
C00109	2-Oxobutanoate
C00109	2-Ketobutyric acid
C00109	2-Oxobutyric acid
C00109	2-Oxobutyrate
C00109	2-Oxobutanoic acid
C00109	alpha-Ketobutyric acid
C00109	alpha-Ketobutyrate
C00110	Dolichyl phosphate
C00110	Dolichol phosphate
C00111	Glycerone phosphate
C00111	Dihydroxyacetone phosphate
C00111	3-Hydroxy-2-oxopropyl phosphate
C00112	CDP
C00112	Cytidine 5'-diphosphate
C00112	Cytidine diphosphate
C00113	PQQ
C00113	Pyrrolo-quinoline quinone
C00113	Pyrroloquinoline-quinone
C00113	Pyrroloquinoline quinone
C00113	4,5-Dioxo-4,5-dihydro-1H-pyrrolo[2,3-f]quinoline-2,7,9-tricarboxylate
C00113	Methoxatin
C00114	Choline
C00114	Bilineurine
C00116	Glycerol
C00116	Glycerin
C00116	1,2,3-Trihydroxypropane
C00116	1,2,3-Propanetriol
C00117	D-Ribose 5-phosphate
C00117	Ribose 5-phosphate
C00118	D-Glyceraldehyde 3-phosphate
C00118	(2R)-2-Hydroxy-3-(phosphonooxy)-propanal
C00118	Glyceraldehyde 3-phosphate
C00119	5-Phospho-alpha-D-ribose 1-diphosphate
C00119	5-Phosphoribosyl diphosphate
C00119	5-Phosphoribosyl 1-pyrophosphate
C00119	PRPP
C00120	Biotin
C00120	D-Biotin
C00120	Vitamin H
C00120	Coenzyme R
C00121	D-Ribose
C00122	Fumarate
C00122	Fumaric acid
C00122	trans-Butenedioic acid
C00123	L-Leucine
C00123	2-Amino-4-methylvaleric acid
C00123	(2S)-alpha-2-Amino-4-methylvaleric acid
C00123	(2S)-alpha-Leucine
C00124	D-Galactose
C00124	D-Galactopyranose
C00125	Ferricytochrome c
C00125	Cytochrome c3+
C00126	Ferrocytochrome c
C00126	Cytochrome c2+
C00126	Reduced cytochrome c
C00127	Glutathione disulfide
C00127	GSSG
C00127	Oxiglutatione
C00127	Oxidized glutathione
C00128	CMP-N-acetylneuraminate
C00128	CMP-N-acetyl-beta-neuraminate
C00129	Isopentenyl diphosphate
C00129	Delta3-Isopentenyl diphosphate
C00129	Delta3-Methyl-3-butenyl diphosphate
C00130	IMP
C00130	Inosinic acid
C00130	Inosine monophosphate
C00130	Inosine 5'-monophosphate
C00130	Inosine 5'-phosphate
C00130	5'-Inosinate
C00130	5'-Inosinic acid
C00130	5'-Inosine monophosphate
C00130	5'-IMP
C00131	dATP
C00131	2'-Deoxyadenosine 5'-triphosphate
C00131	Deoxyadenosine 5'-triphosphate
C00131	Deoxyadenosine triphosphate
C00132	Methanol
C00132	Methyl alcohol
C00132	CH3OH
C00133	D-Alanine
C00133	D-2-Aminopropionic acid
C00133	D-Ala
C00134	Putrescine
C00134	1,4-Butanediamine
C00134	1,4-Diaminobutane
C00134	Tetramethylenediamine
C00134	Butane-1,4-diamine
C00135	L-Histidine
C00135	(S)-alpha-Amino-1H-imidazole-4-propionic acid
C00136	Butanoyl-CoA
C00136	Butyryl-CoA
C00137	myo-Inositol
C00137	D-myo-Inositol
C00137	1D-myo-Inositol
C00137	L-myo-Inositol
C00137	1L-myo-Inositol
C00137	meso-Inositol
C00137	Inositol
C00137	Dambose
C00137	Cyclohexitol
C00137	Meat sugar
C00137	Bios I
C00138	Reduced ferredoxin
C00138	Reduced ferredoxin [iron-sulfur] cluster
C00139	Oxidized ferredoxin
C00139	Oxidized ferredoxin [iron-sulfur] cluster
C00140	N-Acetyl-D-glucosamine
C00140	N-Acetylchitosamine
C00140	2-Acetamido-2-deoxy-D-glucose
C00140	GlcNAc
C00141	3-Methyl-2-oxobutanoic acid
C00141	3-Methyl-2-oxobutyric acid
C00141	3-Methyl-2-oxobutanoate
C00141	2-Oxo-3-methylbutanoate
C00141	2-Oxoisovalerate
C00141	2-Oxoisopentanoate
C00141	alpha-Ketovaline
C00141	2-Ketovaline
C00141	2-Keto-3-methylbutyric acid
C00143	5,10-Methylenetetrahydrofolate
C00143	(6R)-5,10-Methylenetetrahydrofolate
C00143	5,10-Methylene-THF
C00144	GMP
C00144	Guanosine 5'-phosphate
C00144	Guanosine monophosphate
C00144	Guanosine 5'-monophosphate
C00144	Guanylic acid
C00145	Thiol
C00145	Mercaptan
C00146	Phenol
C00146	Benzenol
C00146	Hydroxybenzene
C00146	Phenic acid
C00146	Phenylic acid
C00147	Adenine
C00147	6-Aminopurine
C00148	L-Proline
C00148	2-Pyrrolidinecarboxylic acid
C00149	(S)-Malate
C00149	L-Malate
C00149	L-Apple acid
C00149	L-Malic acid
C00149	L-2-Hydroxybutanedioic acid
C00149	Malate
C00149	Malic acid
C00151	L-Amino acid
C00151	L-2-Amino acid
C00152	L-Asparagine
C00152	2-Aminosuccinamic acid
C00153	Nicotinamide
C00153	Nicotinic acid amide
C00153	Niacinamide
C00153	Vitamin PP
C00154	Palmitoyl-CoA
C00154	Hexadecanoyl-CoA
C00155	L-Homocysteine
C00155	L-2-Amino-4-mercaptobutyric acid
C00155	Homocysteine
C00156	4-Hydroxybenzoate
C00156	Hydroxybenzoic acid
C00156	4-Hydroxybenzoic acid
C00156	Hydroxybenzenecarboxylic acid
C00157	Phosphatidylcholine
C00157	Lecithin
C00157	Phosphatidyl-N-trimethylethanolamine
C00157	1,2-Diacyl-sn-glycero-3-phosphocholine
C00157	Choline phosphatide
C00157	3-sn-Phosphatidylcholine
C00158	Citrate
C00158	Citric acid
C00158	2-Hydroxy-1,2,3-propanetricarboxylic acid
C00158	2-Hydroxytricarballylic acid
C00159	D-Mannose
C00159	Mannose
C00159	Seminose
C00159	Carubinose
C00159	D-Mannopyranose
C00160	Glycolate
C00160	Glycolic acid
C00160	Hydroxyacetic acid
C00161	2-Oxo acid
C00161	2-Oxocarboxylate
C00161	2-Oxocarboxylic acid
C00161	2-Oxo carboxylate
C00162	Fatty acid
C00163	Propanoate
C00163	Propionate
C00163	Propanoic acid
C00163	Propionic acid
C00164	Acetoacetate
C00164	3-Oxobutanoic acid
C00164	beta-Ketobutyric acid
C00164	Acetoacetic acid
C00165	Diacylglycerol
C00165	Diglyceride
C00166	Phenylpyruvate
C00166	Phenylpyruvic acid
C00166	alpha-Ketohydrocinnamic acid
C00166	keto-Phenylpyruvate
C00166	3-Phenyl-2-oxopropanoate
C00166	2-Oxo-3-phenylpropanoate
C00167	UDP-glucuronate
C00167	UDPglucuronate
C00167	UDP-D-glucuronate
C00167	UDP-alpha-D-glucuronate
C00168	Hydroxypyruvate
C00168	Hydroxypyruvic acid
C00168	3-Hydroxypyruvate
C00168	3-Hydroxypyruvic acid
C00169	Carbamoyl phosphate
C00170	5'-Methylthioadenosine
C00170	Methylthioadenosine
C00170	S-Methyl-5'-thioadenosine
C00170	5-Methylthioadenosine
C00170	5'-Deoxy-5'-(methylthio)adenosine
C00170	Thiomethyladenosine
C00170	MTA
C00173	Acyl-[acyl-carrier protein]
C00174	Acid
C00175	Cobalt ion
C00175	Cobalt(2+)
C00175	Co2+
C00175	Co(II)
C00176	Flavin
C00177	Cyanide ion
C00177	Prussiate
C00177	CN-
C00177	Cyano
C00177	Cyanide
C00178	Thymine
C00178	5-Methyluracil
C00179	Agmatine
C00179	(4-Aminobutyl) guanidine
C00180	Benzoate
C00180	Benzoic acid
C00180	Benzenecarboxylic acid
C00180	Phenylformic acid
C00180	Dracylic acid
C00181	D-Xylose
C00181	Wood sugar
C00183	L-Valine
C00183	2-Amino-3-methylbutyric acid
C00184	Glycerone
C00184	Dihydroxyacetone
C00184	1,3-Dihydroxyacetone
C00184	1,3-Dihydroxy-2-propanone
C00184	1,3-Dihydroxypropan-2-one
C00185	Cellobiose
C00185	1-beta-D-Glucopyranosyl-4-D-glucopyranose
C00186	(S)-Lactate
C00186	L-Lactate
C00186	L-Lactic acid
C00187	Cholesterol
C00187	Cholest-5-en-3beta-ol
C00188	L-Threonine
C00188	2-Amino-3-hydroxybutyric acid
C00189	Ethanolamine
C00189	Aminoethanol
C00189	2-Hydroxyethylamine
C00190	UDP-D-xylose
C00190	UDP-xylose
C00190	UDP-alpha-D-xylose
C00191	D-Glucuronate
C00191	Glucuronic acid
C00191	Glucuronate
C00192	Hydroxylamine
C00192	NH2OH
C00193	Aromatic aldehyde
C00194	Cobamide coenzyme
C00194	Adenosylcobalamin
C00194	Adenosylcob(III)alamin
C00194	Deoxyadenosylcobalamin
C00194	Cobamamide
C00194	Vitamin B12 coenzyme
C00194	5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide
C00194	(5'-Deoxy-5'-adenosyl)cobamide coenzyme
C00194	(5,6-Dimethylbenzimidazolyl)cobamide coenzyme
C00194	alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme
C00194	5'-Deoxy-5'-adenosylcobalamin
C00194	5'-Deoxy-5'-adenosyl vitamin B12
C00194	5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide
C00194	5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide
C00194	Calomide
C00194	Cobalamin coenzyme
C00194	Coenzyme B12
C00194	DMBC coenzyme
C00194	Dibencozide
C00194	Funacomide
C00195	N-Acylsphingosine
C00195	Ceramide
C00195	N-Acylsphing-4-enine
C00195	(4E)-Sphing-4-enine ceramide
C00196	2,3-Dihydroxybenzoate
C00196	2,3-Dihydroxybenzoic acid
C00197	3-Phospho-D-glycerate
C00197	D-Glycerate 3-phosphate
C00197	3-Phospho-(R)-glycerate
C00197	3-Phosphoglycerate
C00198	D-Glucono-1,5-lactone
C00198	Gluconic lactone
C00198	Gluconic acid lactone
C00198	1,5-Gluconolactone
C00198	delta-Gluconolactone
C00198	D-Gluconolactone
C00198	Gluconolactone
C00199	D-Ribulose 5-phosphate
C00201	Nucleoside triphosphate
C00201	NTP
C00201	Nucleoside 5'-triphosphate
C00202	Isoflurophate
C00202	Diisopropyl fluorophosphate
C00202	DFP
C00203	UDP-N-acetyl-D-galactosamine
C00203	UDP-N-acetyl-alpha-D-galactosamine
C00204	2-Dehydro-3-deoxy-D-gluconate
C00204	2-Keto-3-deoxy-D-gluconate
C00205	hn
C00205	Light
C00205	Photon
C00205	hnu
C00206	dADP
C00206	2'-Deoxyadenosine 5'-diphosphate
C00207	Acetone
C00207	Dimethyl ketone
C00207	2-Propanone
C00208	Maltose
C00208	Malt sugar
C00208	alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose
C00209	Oxalate
C00209	Oxalic acid
C00209	Ethanedioic acid
C00212	Adenosine
C00213	Sarcosine
C00213	N-Methylglycine
C00214	Thymidine
C00214	Deoxythymidine
C00215	Nucleotide
C00216	D-Arabinose
C00217	D-Glutamate
C00217	D-Glutamic acid
C00217	D-Glutaminic acid
C00217	D-2-Aminoglutaric acid
C00218	Methylamine
C00218	Methanamine
C00219	Arachidonate
C00219	Arachidonic acid
C00219	(5Z,8Z,11Z,14Z)-Icosatetraenoic acid
C00219	cis-5,8,11,14-Eicosatetraenoic acid
C00219	5Z,8Z,11Z,14Z-Eicosatetraenoic acid
C00219	(5Z,8Z,11Z,14Z)-Icosa-5,8,11,14-tetraenoic acid
C00221	beta-D-Glucose
C00221	beta-D-Glucopyranose
C00222	3-Oxopropanoate
C00222	Malonate semialdehyde
C00223	p-Coumaroyl-CoA
C00223	4-Coumaroyl-CoA
C00223	4-Hydroxycinnamoyl-CoA
C00223	trans-4-Coumaroyl-CoA
C00223	(E)-4-Coumaroyl-CoA
C00224	Adenylyl sulfate
C00224	Adenosine 5'-phosphosulfate
C00224	APS
C00224	5'-Adenylyl sulfate
C00226	Primary alcohol
C00226	1-Alcohol
C00227	Acetyl phosphate
C00229	Acyl-carrier protein
C00229	ACP
C00229	[Acyl-carrier protein]
C00229	Holo-[acyl-carrier protein]
C00230	3,4-Dihydroxybenzoate
C00230	3,4-Dihydroxybenzoic acid
C00230	Protocatechuate
C00230	Protocatechuic acid
C00231	D-Xylulose 5-phosphate
C00232	Succinate semialdehyde
C00232	Succinic semialdehyde
C00232	4-Oxobutanoate
C00233	4-Methyl-2-oxopentanoate
C00233	2-Oxoisocaproate
C00234	10-Formyltetrahydrofolate
C00234	10-Formyl-THF
C00235	Dimethylallyl diphosphate
C00235	2-Isopentenyl diphosphate
C00235	Delta2-Isopentenyl diphosphate
C00235	Dimethylallyl pyrophosphate
C00235	DMAPP
C00235	Monoprenyl diphosphate
C00235	Prenyl diphosphate
C00236	3-Phospho-D-glyceroyl phosphate
C00236	1,3-Bisphospho-D-glycerate
C00236	(R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid
C00236	D-Glycerate 1,3-diphosphate
C00237	CO
C00237	Carbon monoxide
C00239	dCMP
C00239	Deoxycytidylic acid
C00239	Deoxycytidine monophosphate
C00239	Deoxycytidylate
C00239	2'-Deoxycytidine 5'-monophosphate
C00240	rRNA
C00240	Ribosomal RNA
C00241	Amide
C00242	Guanine
C00242	2-Amino-6-hydroxypurine
C00243	Lactose
C00243	1-beta-D-Galactopyranosyl-4-D-glucopyranose
C00243	beta-D-Gal-(1->4)-D-Glc
C00243	Milk sugar
C00244	Nitrate
C00244	Nitric acid
C00245	Taurine
C00245	2-Aminoethanesulfonic acid
C00245	Aminoethylsulfonic acid
C00246	Butanoic acid
C00246	Butanoate
C00246	Butyrate
C00246	Butyric acid
C00247	L-Sorbose
C00247	L-xylo-Hexulose
C00248	Lipoamide
C00248	Thioctic acid amide
C00249	Hexadecanoic acid
C00249	Hexadecanoate
C00249	Hexadecylic acid
C00249	Palmitic acid
C00249	Palmitate
C00249	Cetylic acid
C00250	Pyridoxal
C00251	Chorismate
C00251	Chorismic acid
C00251	(3R,4R)-3-[(1-Carboxyethenyl)oxy]-4-hydroxycyclohexa-1,5-diene-1-carboxylate
C00252	Isomaltose
C00252	Brachiose
C00253	Nicotinate
C00253	Nicotinic acid
C00253	Niacin
C00253	3-Pyridinecarboxylic acid
C00254	Prephenate
C00254	Prephenic acid
C00255	Riboflavin
C00255	Lactoflavin
C00255	7,8-Dimethyl-10-ribitylisoalloxazine
C00255	Vitamin B2
C00256	(R)-Lactate
C00256	D-Lactate
C00256	D-Lactic acid
C00256	D-2-Hydroxypropanoic acid
C00256	D-2-Hydroxypropionic acid
C00257	D-Gluconic acid
C00257	D-Gluconate
C00257	D-gluco-Hexonic acid
C00258	D-Glycerate
C00258	Glycerate
C00258	(R)-Glycerate
C00258	Glyceric acid
C00259	L-Arabinose
C00259	L-Arabinopyranose
C00261	Benzaldehyde
C00261	Benzoic aldehyde
C00262	Hypoxanthine
C00262	Purine-6-ol
C00263	L-Homoserine
C00263	2-Amino-4-hydroxybutyric acid
C00264	3-Oxoacyl-CoA
C00265	Dithiothreitol
C00265	1,4-Dithiothreitol
C00265	threo-1,4-Dimercapto-2,3-butanediol
C00265	DL-threo-1,4-Dimercapto-2,3-butanediol
C00266	Glycolaldehyde
C00266	Hydroxyacetaldehyde
C00267	alpha-D-Glucose
C00268	Dihydrobiopterin
C00268	6,7-Dihydrobiopterin
C00268	Quinoid-dihydrobiopterin
C00268	6-[(1R,2S)-1,2-Dihydroxypropyl]-6,7-dihydropterin
C00269	CDP-diacylglycerol
C00269	CDP-1,2-diacylglycerol
C00269	1,2-Diacyl-sn-glycero-3-cytidine-5'-diphosphate
C00270	N-Acetylneuraminate
C00270	N-Acetylneuraminic acid
C00270	5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid
C00270	Neu5Ac
C00272	Tetrahydrobiopterin
C00272	5,6,7,8-Tetrahydrobiopterin
C00272	2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone
C00272	L-erythro-Tetrahydrobiopterin
C00273	5-Dehydro-D-fructose
C00275	D-Mannose 6-phosphate
C00279	D-Erythrose 4-phosphate
C00280	Androstenedione
C00280	Androst-4-ene-3,17-dione
C00280	4-Androstene-3,17-dione
C00282	Hydrogen
C00282	H2
C00283	Hydrogen sulfide
C00283	Hydrogen-sulfide
C00283	H2S
C00283	Sulfide
C00284	EDTA
C00284	Ethylenediaminetetraacetic acid
C00284	Edetic acid
C00284	Ethylenediaminetetraacetate
C00286	dGTP
C00286	2'-Deoxyguanosine 5'-triphosphate
C00286	Deoxyguanosine 5'-triphosphate
C00286	Deoxyguanosine triphosphate
C00288	HCO3-
C00288	Hydrogencarbonate
C00288	Bicarbonate
C00288	Hydrogen carbonate
C00288	Acid carbonate
C00292	Aniline
C00292	Phenylamine
C00292	Benzenamine
C00292	Arylamine
C00294	Inosine
C00295	Orotate
C00295	Orotic acid
C00295	Uracil-6-carboxylic acid
C00296	Quinate
C00296	Quinic acid
C00296	Kinic acid
C00296	Chinic acid
C00296	L-Quinic acid
C00296	L-Quinate
C00296	(-)-Quinic acid
C00299	Uridine
C00300	Creatine
C00300	alpha-Methylguanidino acetic acid
C00300	Methylglycocyamine
C00301	ADP-ribose
C00301	ADP-D-ribose
C00301	Adenosine diphosphate ribose
C00302	Glutamate
C00302	Glutaminic acid
C00302	2-Aminoglutaric acid
C00305	Magnesium cation
C00305	Mg2+
C00305	Magnesium(2+)
C00305	Magnesium ion
C00307	CDP-choline
C00307	Cytidine 5'-diphosphocholine
C00307	Citicoline
C00309	D-Ribulose
C00309	D-erythro-2-Pentulose
C00309	D-Arabinoketose
C00309	D-Arabinulose
C00309	D-Riboketose
C00310	D-Xylulose
C00310	D-threo-Pentulose
C00310	D-Lyxulose
C00311	Isocitrate
C00311	Isocitric acid
C00311	1-Hydroxytricarballylic acid
C00311	1-Hydroxypropane-1,2,3-tricarboxylic acid
C00312	L-Xylulose
C00312	L-threo-Pentulose
C00312	L-Lyxulose
C00313	Oxalyl-CoA
C00314	Pyridoxine
C00314	Pyridoxol
C00315	Spermidine
C00315	N-(3-Aminopropyl)-1,4-butane-diamine
C00318	L-Carnitine
C00318	L-gamma-Trimethyl-beta-hydroxybutyrobetaine
C00318	Vitamin BT
C00318	3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt
C00318	Levocarnitine
C00318	(R)-Carnitine
C00319	Sphingosine
C00319	Sphingenine
C00319	Sphingoid
C00319	Sphing-4-enine
C00320	Thiosulfate
C00320	Hyposulfite
C00322	2-Oxoadipate
C00322	2-Oxoadipic acid
C00323	Caffeoyl-CoA
C00323	(2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoyl-CoA
C00325	GDP-L-fucose
C00325	GDP-beta-L-fucose
C00326	Glycoprotein
